,i,a,e,inc,m_e,EF,EC,OC,CI,EF_ratio,EC_ratio,OC_ratio,CI_ratio,P,T,MgO,Al2O3,CaO,FeO,NiO,SiO2,Fe,Ni,Si,O
42,5989,2.7277714835836075,0.3570309732217651,0.0403077670266202,0.0005351781551781552,0.0,0.0,0.0005351781551781552,0.0,0.0,0.0,1.0,0.0,0.4299720640692641,1897.5132014993737,0.00018756690168474132,6.767695600005204e-06,1.0037980131311852e-05,9.118718397650743e-05,1.1171567825890466e-07,0.00019940987570429456,3.3490870703237164e-05,6.600945065901446e-06,4.986633897366248e-09,2.2867364216008898e-06
43,6107,1.8353534307381567,0.375038436415545,0.0711613245601837,0.0005355511155511155,0.0,0.0,0.0,0.0005355511155511155,0.0,0.0,0.0,1.0,0.430013858008658,1897.5154560454262,0.00018105979844597496,7.180558937059549e-06,1.0484350940290435e-05,0.00015033790667119164,2.2975819903391993e-06,0.00017570449025822106,2.453680908700705e-06,6.032724333745612e-06,2.3065592350598324e-11,8.486451373631058e-06
44,1320,1.6778497236349459,0.0668774964644318,0.0989473962386331,0.0005378621378621379,0.0,0.0005378621378621379,0.0,0.0,0.0,1.0,0.0,0.0,0.4302728311688312,1897.5294260454123,0.00016428601697747073,5.482266088235307e-06,7.784135661311276e-06,3.6837007558505603e-06,1.3363691944498052e-09,0.00019353324728771406,0.0001439304097912298,8.39938325131561e-06,1.0761641679816108e-05,3.5287918093791695e-07
45,6558,1.25414178903617,0.1020117601630524,0.1140039236053277,0.0005383416583416583,0.0,0.0,0.0005383416583416583,0.0,0.0,0.0,1.0,0.0,0.43032656623376625,1897.5323246909416,0.00018867563245244357,6.807700271782428e-06,1.0097315852684888e-05,9.172637593855826e-05,1.1239080793848379e-07,0.0002005886119733253,3.368866588571482e-05,6.639949290272865e-06,5.01586893767174e-09,2.3000649234633085e-06
46,6175,1.4542784403000464,0.0864145946447629,0.1034717771725756,0.0005414085914085914,0.0,0.0,0.0005414085914085914,0.0,0.0,0.0,1.0,0.0,0.4306702467532467,1897.5508637103871,0.00018975051775460547,6.8464837483159275e-06,1.0154840273089696e-05,9.224911081517646e-05,1.1304549782401351e-07,0.00020173136576956605,3.3880420651318514e-05,6.677762689946252e-06,5.044208749045015e-09,2.3129839215875166e-06
47,5286,1.336785810577081,0.2344045372991029,0.1113257440324087,0.000542057942057942,0.0,0.0,0.000542057942057942,0.0,0.0,0.0,1.0,0.0,0.430743012987013,1897.554788857972,0.0001899780993332391,6.854695233575463e-06,1.0167019710634686e-05,9.235978800359876e-05,1.1318413485040757e-07,0.00020197331689943536,3.3921019771509966e-05,6.685768762435589e-06,5.050208662745652e-09,2.3157187686870056e-06
48,6162,1.8174187568785864,0.1603962190217591,0.0943439173186013,0.0005427672327672328,0.0,0.0,0.0005427672327672328,0.0,0.0,0.0,1.0,0.0,0.4308224961038961,1897.5590763061177,0.00019022668844220815,6.8636647020897255e-06,1.0180323403953063e-05,9.248068132212966e-05,1.1333557611793261e-07,0.00020223760197983764,3.396536672854177e-05,6.694513850023709e-06,5.056762331133793e-09,2.318706281812888e-06
49,6417,1.32400577696787,0.0182717217759762,0.0540561270825073,0.0005431135531135531,0.0,0.0,0.0005431135531135531,0.0,0.0,0.0,1.0,0.0,0.43086130476190476,1897.561169700156,0.00019034806528414608,6.868044160894811e-06,1.018681910397706e-05,9.253970924156887e-05,1.1340952318176124e-07,0.00020236664258255189,3.398701950702989e-05,6.698783748034938e-06,5.059962167823897e-09,2.320164773767701e-06
50,5572,2.718876074081597,0.3044138445145136,0.3292624931272304,0.0005441391941391941,0.0,0.0,0.0,0.0005441391941391941,0.0,0.0,0.0,1.0,0.4309762380952381,1897.56736933681,0.00018396326691619847,7.295706124073319e-06,1.0652477618035381e-05,0.00015274997322446297,2.3358709804958045e-06,0.0001785220812165959,2.491774804414882e-06,6.128019838694367e-06,2.341622298081443e-11,8.619841475555271e-06
51,6577,1.7252402880676967,0.2715248715913906,0.0321670409145935,0.0005447319347319348,0.0,0.0,0.0005447319347319348,0.0,0.0,0.0,1.0,0.0,0.4310426606060606,1897.5709522230482,0.0001909152686032022,6.888509708772423e-06,1.0217174009858423e-05,9.281555064512804e-05,1.1375510715130651e-07,0.00020296965924554,3.408820521109268e-05,6.718737286243062e-06,5.0749149466393795e-09,2.3269809991934226e-06
52,5657,1.475926994753895,0.0799052639013621,0.0547966878606437,0.0005447852147852148,0.0,0.0,0.0005447852147852148,0.0,0.0,0.0,1.0,0.0,0.4310486311688312,1897.5712742794965,0.00019093394196350032,6.889183471665513e-06,1.0218173348323652e-05,9.282463192985166e-05,1.1376648552685263e-07,0.00020298951164599314,3.4091536341434816e-05,6.719394191725216e-06,5.0754071936160664e-09,2.3272053142474216e-06
53,5634,1.3593629548737665,0.0326327313688516,0.1586248040916594,0.0005451415251415252,0.0,0.0,0.0005451415251415252,0.0,0.0,0.0,1.0,0.0,0.4310885593073593,1897.5734280288539,0.00019105882006049417,6.893689261013053e-06,1.022485642430988e-05,9.288536277171402e-05,1.1384257850305463e-07,0.00020312227457399695,3.411381352532461e-05,6.723787247047391e-06,5.078699122032125e-09,2.328705670861164e-06
54,5941,1.4387798370325846,0.0984690133333466,0.079815645162037,0.0005467232767232767,0.0,0.0,0.0005467232767232767,0.0,0.0,0.0,1.0,0.0,0.43126581038961037,1897.582988999699,0.0001916131854443453,6.913691596901666e-06,1.0254524284996397e-05,9.31549617105731e-05,1.1418039718674803e-07,0.0002037116427126295,3.421270815872978e-05,6.743289105389196e-06,5.0933125250219886e-09,2.335366701880677e-06
55,6894,1.5608016387315826,0.1377383780862049,0.1021922708315972,0.000546979686979687,0.0,0.0,0.000546979686979687,0.0,0.0,0.0,1.0,0.0,0.43129454372294374,1897.5845388732432,0.0001917030509907801,6.916934080824662e-06,1.0259333601360316e-05,9.319866546611319e-05,1.1423516484620288e-07,0.00020380718238995326,3.4228739150693585e-05,6.746450453794928e-06,5.0956813206926715e-09,2.336446135757053e-06
56,5516,2.6866598851736376,0.242855914403677,0.1181368634058003,0.0005488011988011988,0.0,0.0,0.0,0.0005488011988011988,0.0,0.0,0.0,1.0,0.4314986623376623,1897.5955489323617,0.0001855394033482702,7.358213321366564e-06,1.0743744523364164e-05,0.00015405937059735815,2.3566754859832703e-06,0.00018005159937959362,2.5124373883168144e-06,6.17973115063517e-06,2.360631083512567e-11,8.692215751573648e-06
57,5708,3.1496432355774058,0.0300507741102177,0.190967317158264,0.0005512620712620713,0.0,0.0,0.0,0.0005512620712620713,0.0,0.0,0.0,1.0,0.4317744277056277,1897.610423355658,0.00018637137822205663,7.391208191937784e-06,1.0791920411248428e-05,0.0001547505492286382,2.3676622587960626e-06,0.0001808589664671202,2.5233404056603545e-06,6.207022370022015e-06,2.370659156719461e-11,8.730410188865492e-06
58,5018,1.7839224238832072,0.0654957405367932,0.1030967882944543,0.0005526107226107226,0.0,0.0,0.0005526107226107226,0.0,0.0,0.0,1.0,0.0,0.43192555757575757,1897.618574992556,0.00019367659175729016,6.988142396588122e-06,1.0364951185404322e-05,9.415844261273592e-05,1.1543818225380317e-07,0.0002059053329697259,3.458079912133163e-05,6.815876686598107e-06,5.147698794625514e-09,2.3601540865263323e-06
59,5641,1.8804349484806853,0.0907806410814089,0.0552677727297631,0.000552930402930403,0.0,0.0,0.000552930402930403,0.0,0.0,0.0,1.0,0.0,0.43196138095238096,1897.6205072209273,0.00019378863191907907,6.992184973946664e-06,1.0370947216195705e-05,9.421293023540077e-05,1.1550649460819923e-07,0.0002060244473730712,3.460078598906127e-05,6.819818077389918e-06,5.150651650223355e-09,2.361500019173188e-06
60,6572,3.007896895757602,0.1495547607526202,0.1819351175262119,0.000552957042957043,0.0,0.0,0.0,0.000552957042957043,0.0,0.0,0.0,1.0,0.4319643662337662,1897.6206682397594,0.0001869444163962884,7.413934022953685e-06,1.0825102450400106e-05,0.00015522661448654664,2.3752326749054777e-06,0.00018141505557075377,2.5308469463302796e-06,6.225816633249019e-06,2.377561553667737e-11,8.756711130810334e-06
61,3407,1.478322833269716,0.0632752339964722,0.096023726582765,0.0005530469530469531,0.0,0.0005530469530469531,0.0,0.0,0.0,1.0,0.0,0.0,0.43197444155844156,1897.6212116780928,0.00016892410660982132,5.637040316580732e-06,8.003895806281431e-06,3.7873588121094587e-06,1.374805775838153e-09,0.00019899728872548758,0.00014799416347404147,8.636512233441042e-06,1.1065212263414192e-05,3.6268050608231905e-07
62,2057,1.3316976704907844,0.170415888388412,0.0897509864846051,0.0005535964035964036,0.0,0.0005535964035964036,0.0,0.0,0.0,1.0,0.0,0.0,0.432036012987013,1897.6245326825635,0.00016909193222151823,5.642640699843231e-06,8.011847653632325e-06,3.791109226157557e-06,1.3761972991322108e-09,0.00019919500091681794,0.00014814120756370978,8.64509255772622e-06,1.1076196559699263e-05,3.63035198208358e-07
63,6721,2.4338668190073034,0.1300115836300048,0.1976850126016221,0.0005537062937062937,0.0,0.0,0.0005537062937062937,0.0,0.0,0.0,1.0,0.0,0.43204832727272724,1897.6251968818974,0.00019406056272842077,7.0019966460772875e-06,1.0385500082595617e-05,9.43451766999311e-05,1.1567230351770998e-07,0.00020631354795637,3.4649295318925794e-05,6.829384152158178e-06,5.157818297273466e-09,2.364766236688878e-06
64,6923,1.904281948141913,0.1844899964121139,0.0697274245100773,0.0005584648684648685,0.0,0.0,0.0005584648684648685,0.0,0.0,0.0,1.0,0.0,0.43258157316017315,1897.653958226859,0.00019572832722004874,7.062172094466399e-06,1.0474753499271482e-05,9.515625415128893e-05,1.1668945222496857e-07,0.00020808661548615763,3.4946801688127206e-05,6.888053105491844e-06,5.201767791328379e-09,2.3847942192950088e-06
65,6140,1.8996341107664725,0.1132864629734584,0.1796767170031167,0.0005585347985347986,0.0,0.0,0.0005585347985347986,0.0,0.0,0.0,1.0,0.0,0.43258940952380953,1897.6543808845588,0.00019575283600544005,7.063056408263579e-06,1.0476065131007095e-05,9.516817380713225e-05,1.167044043929553e-07,0.0002081126717620675,3.4951173327057674e-05,6.888915275887091e-06,5.202413550382248e-09,2.3850881444793847e-06
