a_1,m_1,Time
0.5401911100191422,1.0,2.85
0.5401917484232036,1.0,2.86
0.5401923784844946,1.0,2.87
0.5401930001949627,1.0,2.88
0.5401936141165695,1.0,2.89
0.5401942201238639,1.0,2.9
0.5401948181244703,1.0,2.91
0.5401954085353088,1.0,2.92
0.5401959914839354,1.0,2.93
0.5401965669439365,1.0,2.94
0.540197134909102,1.0,2.95
0.5401976958701687,1.0,2.96
0.5401982497184868,1.0,2.97
0.5401987963747266,1.0,2.98
0.5401993362027518,1.0,2.99
0.5401998693145634,1.0,3.0
0.5402003956884975,1.0,3.01
0.5402009153202033,1.0,3.02
0.5402014286380423,1.0,3.03
0.5402019355485149,1.0,3.04
0.5402024359835601,1.0,3.05
0.5402029302614395,1.0,3.06
0.5402034184802477,1.0,3.07
0.540203900622878,1.0,3.08
0.5402043766865944,1.0,3.09
0.5402048470456808,1.0,3.1
0.5402053116196389,1.0,3.11
0.5402057703508706,1.0,3.12
0.5402062235173618,1.0,3.13
0.5402066712062352,1.0,3.14
0.5402071134037691,1.0,3.15
0.5402075501086137,1.0,3.16
0.5402079816483466,1.0,3.17
0.5402084079541187,1.0,3.18
0.5402088289767809,1.0,3.19
0.5402092449599338,1.0,3.2
0.5402096559809768,1.0,3.21
0.5402100620288458,1.0,3.22
0.5402104631043062,1.0,3.23
0.540210859493226,1.0,3.24
0.540211251137699,1.0,3.25
0.5402116379960723,1.0,3.26
0.5402120202817318,1.0,3.27
0.5402123980636635,1.0,3.28
0.5402127713333078,1.0,3.29
0.540213140092602,1.0,3.3
0.5402135045923105,1.0,3.31
0.5402138647831454,1.0,3.32
0.5402142206299508,1.0,3.33
0.54021457232014,1.0,3.34
0.5402149199147968,1.0,3.35
0.5402152634083845,1.0,3.36
0.5402156028035399,1.0,3.37
0.5402159383201016,1.0,3.38
0.5402162699162762,1.0,3.39
0.5402165975631849,1.0,3.4
0.5402169214250298,1.0,3.41
0.540217241556547,1.0,3.42
0.5402175579542222,1.0,3.43
0.5402178706215333,1.0,3.44
0.5402181797515729,1.0,3.45
0.540218485308909,1.0,3.46
0.5402187872700445,1.0,3.47
0.5402190857792922,1.0,3.48
0.5402193808856942,1.0,3.49
0.5402196725866859,1.0,3.5
0.5402199608872142,1.0,3.51
0.5402202459566662,1.0,3.52
0.540220527765497,1.0,3.53
0.5402208062942911,1.0,3.54
0.5402210816703555,1.0,3.55
0.5402213539369844,1.0,3.56
0.5402216230942297,1.0,3.57
0.5402218891467648,1.0,3.58
0.5402221522437823,1.0,3.59
0.5402224123606428,1.0,3.6
0.5402226694816126,1.0,3.61
0.5402229237186728,1.0,3.62
0.5402231751114502,1.0,3.63
0.5402234236601392,1.0,3.64
0.5402236693709123,1.0,3.65
0.5402239123740885,1.0,3.66
0.5402241526499595,1.0,3.67
0.5402243901858163,1.0,3.68
0.5402246250802422,1.0,3.69
0.5402248573688906,1.0,3.7
0.540225087053438,1.0,3.71
0.5402253141401262,1.0,3.72
0.5402255387440529,1.0,3.73
0.540225760848315,1.0,3.74
0.5402259804435723,1.0,3.75
0.5402261976164696,1.0,3.76
0.5402264123993916,1.0,3.77
0.5402266247946834,1.0,3.78
0.5402268348088468,1.0,3.79
0.5402270425431313,1.0,3.8
0.5402272479844227,1.0,3.81
0.5402274511250388,1.0,3.82
0.5402276520422202,1.0,3.83
0.5402278507646303,1.0,3.84
0.5402280472952355,1.0,3.85
0.5402282416413047,1.0,3.86
0.5402284338918059,1.0,3.87
0.5402286240359424,1.0,3.88
0.5402288120685071,1.0,3.89
0.540228998057323,1.0,3.9
0.5402291820288231,1.0,3.91
0.5402293639864539,1.0,3.92
0.5402295439373294,1.0,3.93
0.5402297219598032,1.0,3.94
0.5402298980459144,1.0,3.95
0.540230072191717,1.0,3.96
0.5402302444573595,1.0,3.97
0.540230414866606,1.0,3.98
0.5402305834236844,1.0,3.99
0.5402307501352366,1.0,4.0
0.5402309150708008,1.0,4.01
0.5402310782243523,1.0,4.02
0.5402312395934323,1.0,4.03
